"size"	"cannons"	"style"	"warnshot"	"date"	"heardof"	"decorations"	"daysfromshore"	"speed"	"treasure"
"1"	48	54	"classic"	0	172	1	8	28	15.5120721049997	2170.12072105
"2"	51	56	"modern"	0	15	0	3	6	28.8477860944319	2463.47786094432
"3"	50	44	"modern"	0	63	0	3	23	18.4729117664625	1929.72911766463
"4"	54	54	"modern"	0	362	1	2	23	19.3105787832203	2203.1057878322
"5"	50	56	"modern"	0	183	1	2	12	21.4929851403112	2294.92985140311
"6"	51	48	"modern"	0	279	0	1	3	24.2836570313854	2197.83657031385
"7"	48	36	"modern"	1	24	1	3	1	20.4185015701316	2084.18501570132
"8"	53	54	"modern"	0	201	0	3	14	19.1927075425782	2286.92707542578
"9"	47	24	"modern"	0	197	0	2	11	18.7534315526496	1562.5343155265
"10"	49	24	"modern"	0	215	1	5	7	17.326532537473	1733.26532537473
"11"	50	12	"modern"	0	24	0	4	23	21.481197286407	1349.81197286407
"12"	50	6	"modern"	0	335	0	1	27	19.212390955145	2547.12390955145
"13"	49	42	"modern"	0	34	0	4	18	20.2402786167493	1967.40278616749
"14"	53	30	"modern"	0	8	0	5	6	17.3015257896606	1928.01525789661
"15"	50	10	"modern"	1	266	0	2	3	18.2003891164108	1517.00389116411
"16"	50	42	"modern"	0	233	0	9	24	14.5027977035985	2020.02797703599
"17"	48	28	"modern"	0	169	0	4	7	20.5062290633989	1780.06229063399
"18"	52	18	"modern"	0	177	0	2	23	23.9581550887874	1474.58155088787
"19"	46	26	"modern"	0	163	1	1	20	22.2344564664456	2982.34456466446
"20"	59	28	"modern"	0	263	0	5	23	23.5938252800746	1900.93825280075
"21"	48	34	"classic"	0	301	0	1	7	25.0466478995971	3320.46647899597
"22"	53	34	"modern"	1	87	1	3	6	23.9184043545273	2129.18404354527
"23"	51	44	"modern"	0	40	0	3	19	22.5382804884801	2030.3828048848
"24"	53	30	"modern"	0	180	0	7	14	23.8193291858156	1973.19329185816
"25"	47	20	"modern"	0	89	0	2	11	20.0303443758576	1495.30344375858
"26"	48	38	"modern"	0	358	0	5	21	19.883812688178	1863.83812688178
"27"	47	16	"modern"	0	26	0	6	9	18.7450743307316	1542.45074330732
"28"	51	30	"modern"	0	210	0	1	22	15.4111223490094	1559.11122349009
"29"	45	42	"modern"	0	79	1	6	14	13.5972781819669	1935.97278181967
"30"	51	22	"modern"	0	196	0	10	18	16.371665487173	1748.71665487173
"31"	50	56	"modern"	1	48	0	4	16	21.5335411863074	2400.33541186307
"32"	57	16	"modern"	0	190	0	2	7	22.5375223228053	1680.37522322805
"33"	49	36	"modern"	0	257	0	2	9	17.2384487149795	1847.38448714979
"34"	50	16	"modern"	0	68	0	6	18	23.9122326019682	1564.12232601968
"35"	47	4	"modern"	0	82	1	9	4	17.3906972953234	1443.90697295323
"36"	49	22	"modern"	0	317	0	3	28	22.897595389851	1463.97595389851
"37"	51	54	"modern"	0	285	1	2	26	21.3047223468881	2133.04722346888
"38"	52	30	"modern"	1	270	1	2	23	21.6779927324307	1806.77992732431
"39"	54	26	"modern"	0	93	1	6	25	19.0565131840974	1740.56513184097
"40"	54	58	"modern"	0	104	1	1	6	19.7521208153564	2397.52120815356
"41"	50	48	"modern"	0	161	0	2	6	20.0097548879614	2165.09754887961
"42"	56	52	"modern"	0	4	0	5	20	21.5416295458447	2330.41629545845
"43"	43	46	"modern"	1	185	0	2	28	13.5205898172521	1800.20589817252
"44"	52	40	"modern"	0	330	0	6	2	17.26238796959	2177.6238796959
"45"	48	26	"modern"	0	268	0	5	15	15.0977856063197	1635.9778560632
"46"	55	42	"modern"	0	264	0	3	14	24.194519812923	2136.94519812923
"47"	49	8	"modern"	0	12	0	3	20	19.0534597369602	1225.5345973696
"48"	55	32	"modern"	0	356	0	2	9	25.2071836910754	1967.07183691075
"49"	50	40	"modern"	0	147	1	7	10	20.5610566337172	2135.61056633717
"50"	42	40	"modern"	0	216	0	8	14	19.384981776354	1938.84981776354
"51"	48	32	"modern"	0	300	0	6	14	22.1934306621	1866.934306621
"52"	43	2	"modern"	0	285	0	3	30	20.1717558840904	896.717558840904
"53"	51	40	"modern"	0	171	1	2	23	27.1927225503886	1941.92722550389
"54"	58	50	"modern"	1	22	0	3	23	16.5355456950717	2290.35545695072
"55"	41	60	"modern"	0	330	0	4	27	16.0177684851316	2035.17768485132
"56"	54	8	"modern"	1	96	0	4	9	24.2323264268613	1617.32326426861
"57"	44	32	"modern"	0	71	0	7	1	19.1106264692124	1916.10626469212
"58"	57	38	"modern"	0	362	1	1	26	16.1241706421969	3321.24170642197
"59"	56	48	"modern"	0	130	1	5	28	19.683211986024	2166.83211986024
"60"	47	32	"modern"	0	158	0	1	11	24.0675299582908	1715.67529958291
"61"	49	36	"modern"	0	44	0	5	11	24.2337504193393	1987.33750419339
"62"	50	42	"modern"	0	242	1	2	24	14.6291945428942	1826.29194542894
"63"	48	36	"modern"	0	349	0	4	26	21.9087399295503	1764.0873992955
"64"	60	0	"classic"	0	105	1	1	1	17.8608302653334	2883.60830265333
"65"	51	32	"modern"	1	326	1	1	22	21.3779697197681	1773.77969719768
"66"	47	38	"modern"	1	356	0	3	5	15.4565050134541	1999.56505013454
"67"	53	50	"modern"	0	78	0	3	8	21.1110729304681	2286.11072930468
"68"	51	16	"modern"	0	297	0	1	11	19.7003734290779	2932.00373429078
"69"	50	56	"modern"	0	198	0	4	3	23.7940261411705	2452.9402614117
"70"	50	14	"modern"	1	187	0	8	25	20.1206402283729	1576.20640228373
"71"	52	60	"modern"	0	147	0	3	17	22.7904697935141	2392.90469793514
"72"	46	26	"modern"	0	39	0	4	10	18.1033387422623	1646.03338742262
"73"	45	42	"modern"	1	78	1	7	6	23.6802086517436	2246.80208651744
"74"	57	90	"modern"	1	15	0	3	3	22.243374244767	3327.43374244767
"75"	42	32	"modern"	0	302	1	1	13	17.6145937730767	3046.14593773077
"76"	50	16	"modern"	0	208	0	2	5	17.7325355225615	1512.32535522562
"77"	46	48	"modern"	0	298	0	6	8	22.0482380626681	2205.48238062668
"78"	51	54	"modern"	1	13	0	6	23	19.0745678063665	2345.74567806367
"79"	54	80	"modern"	0	52	0	4	23	19.4216243904724	2769.21624390472
"80"	42	62	"modern"	0	252	0	4	10	25.6019070333106	2361.01907033311
"81"	54	18	"modern"	0	72	0	4	10	20.4028403185274	1669.02840318527
"82"	50	38	"classic"	0	14	0	3	4	18.6473873000873	1996.47387300087
"83"	45	40	"modern"	0	69	1	3	27	13.6394711094192	1676.39471109419
"84"	42	32	"modern"	0	51	0	1	18	13.2385749003747	2937.38574900375
"85"	53	2	"modern"	0	215	0	5	9	16.4686381833786	1329.68638183379
"86"	49	0	"modern"	0	275	0	1	8	18.2167755604114	1087.16775560411
"87"	51	46	"modern"	1	101	0	2	18	18.2385070804989	2107.38507080499
"88"	53	40	"modern"	1	189	0	2	19	17.561975654865	2010.61975654865
"89"	57	50	"modern"	1	224	0	2	21	23.8942243885233	2333.94224388523
"90"	50	2	"modern"	1	290	0	5	19	22.0471368822923	1325.47136882292
"91"	48	32	"modern"	0	121	0	1	8	19.1570529176582	3216.57052917658
"92"	56	6	"modern"	0	103	0	1	14	15.4406835512539	2759.40683551254
"93"	46	32	"modern"	0	204	1	1	3	21.2376945997058	1762.37694599706
"94"	45	32	"classic"	0	307	0	4	10	20.9202488357228	1769.20248835723
"95"	48	0	"modern"	0	262	0	5	10	19.1806618638339	1206.80661863834
"96"	60	46	"modern"	0	218	1	7	25	18.7988515604891	2287.98851560489
"97"	47	0	"modern"	0	96	0	3	16	11.619520348761	991.19520348761
"98"	52	44	"modern"	0	257	1	1	25	22.8212821766807	3418.21282176681
"99"	45	36	"classic"	0	147	0	5	20	17.9972053642285	1749.97205364229
"100"	45	46	"modern"	0	274	0	3	6	10.7231277544907	1962.23127754491
"101"	49	36	"modern"	0	315	1	9	8	22.3278345160236	2133.27834516024
"102"	55	4	"classic"	0	323	1	7	25	20.2519218800636	1357.51921880064
"103"	48	48	"classic"	0	30	0	3	10	25.7693384665802	2167.6933846658
"104"	53	50	"modern"	1	180	0	3	25	20.0191100030209	2205.19110003021
"105"	44	18	"modern"	0	268	0	1	11	23.7042736248584	2872.04273624858
"106"	48	0	"modern"	0	86	1	2	27	20.0519950845513	970.519950845513
"107"	47	40	"modern"	0	251	0	7	26	19.937400943094	1894.37400943094
"108"	49	82	"modern"	0	92	1	1	15	24.1369224861587	2731.36922486159
"109"	55	40	"modern"	1	34	1	5	6	21.4746882283935	2324.74688228394
"110"	50	12	"modern"	0	139	0	5	24	23.3440471537941	1388.44047153794
"111"	51	0	"modern"	0	259	0	8	28	16.9377570359583	1154.37757035958
"112"	51	0	"modern"	0	10	0	2	29	22.4412059250772	1019.41205925077
"113"	48	54	"modern"	0	41	0	1	29	18.7884971103665	1942.88497110366
"114"	44	38	"modern"	0	321	1	9	14	19.1983574929677	1981.98357492968
"115"	49	8	"classic"	0	160	1	2	16	20.3174422160667	1258.17442216067
"116"	51	56	"modern"	0	338	0	2	2	25.3752964141327	2438.75296414133
"117"	54	60	"modern"	0	320	0	8	3	20.1858987360341	2696.85898736034
"118"	49	52	"modern"	0	182	0	1	5	19.1993015250656	2166.99301525066
"119"	49	42	"modern"	0	186	0	4	25	24.9355442848876	1944.35544284888
"120"	56	16	"modern"	0	243	1	3	1	19.1342275553063	1731.34227555306
"121"	47	12	"modern"	0	284	1	1	4	18.3335706222432	2843.33570622243
"122"	52	2	"classic"	0	341	1	1	7	20.0808936175847	2725.80893617585
"123"	48	62	"modern"	1	94	0	1	24	16.1778257098422	3726.77825709842
"124"	52	62	"modern"	0	194	0	4	6	20.2981846550069	2547.98184655007
"125"	44	52	"modern"	0	204	0	4	29	24.1891996309983	1996.89199630998
"126"	48	6	"classic"	0	117	0	5	3	22.0818577691382	1420.81857769138
"127"	49	22	"modern"	0	228	0	5	19	20.9612650360573	1594.61265036057
"128"	54	22	"modern"	0	253	0	6	29	21.9431886837137	1634.43188683714
"129"	48	10	"modern"	0	150	0	5	21	13.7158462962855	1242.15846296286
"130"	51	38	"modern"	1	150	0	3	14	19.4904097568029	2029.90409756803
"131"	48	38	"modern"	0	184	0	2	3	22.4269560980936	1979.26956098094
"132"	47	14	"modern"	0	228	0	5	1	21.8372825068776	1583.37282506878
"133"	53	12	"modern"	0	150	1	7	8	18.7194538943185	1637.19453894319
"134"	48	24	"modern"	0	267	1	2	20	22.4484495267771	1544.48449526777
"135"	55	36	"modern"	0	28	0	5	23	17.0413356376206	1915.41335637621
"136"	52	0	"modern"	0	115	1	7	7	19.866750580388	1398.66750580388
"137"	49	14	"modern"	0	105	0	2	10	24.0707387809696	1465.7073878097
"138"	52	14	"modern"	0	37	0	1	22	17.9793337391337	2784.79333739134
"139"	50	2	"modern"	0	251	1	3	12	22.4822760632796	1254.8227606328
"140"	52	30	"modern"	1	315	1	3	2	23.6835438286154	2066.83543828615
"141"	48	36	"modern"	0	169	0	2	4	20.2793762879052	1907.79376287905
