"size"	"cannons"	"style"	"warnshot"	"date"	"heardof"	"decorations"	"daysfromshore"	"speed"	"treasure"
"1"	48	54	"classic"	0	172	1	8	28	16	2175
"2"	51	56	"modern"	0	15	0	3	6	29	2465
"3"	50	44	"modern"	0	63	0	3	23	18	1925
"4"	54	54	"modern"	0	362	1	2	23	19	2200
"5"	50	56	"modern"	0	183	1	2	12	21	2290
"6"	51	48	"modern"	0	279	0	1	3	24	2195
"7"	48	36	"modern"	1	24	1	3	1	20	2080
"8"	53	54	"modern"	0	201	0	3	14	19	2285
"9"	47	24	"modern"	0	197	0	2	11	19	1565
"10"	49	24	"modern"	0	215	1	5	7	17	1730
"11"	50	12	"modern"	0	24	0	4	23	21	1345
"12"	50	6	"modern"	0	335	0	1	27	19	4045
"13"	49	42	"modern"	0	34	0	4	18	20	1965
"14"	53	30	"modern"	0	8	0	5	6	17	1925
"15"	50	10	"modern"	1	266	0	2	3	18	1515
"16"	50	42	"modern"	0	233	0	9	24	15	2025
"17"	48	28	"modern"	0	169	0	4	7	21	1785
"18"	52	18	"modern"	0	177	0	2	23	24	1475
"19"	46	26	"modern"	0	163	1	1	20	22	4480
"20"	59	28	"modern"	0	263	0	5	23	24	1905
"21"	48	34	"classic"	0	301	0	1	7	25	4820
"22"	53	34	"modern"	1	87	1	3	6	24	2130
"23"	51	44	"modern"	0	40	0	3	19	23	2035
"24"	53	30	"modern"	0	180	0	7	14	24	1975
"25"	47	20	"modern"	0	89	0	2	11	20	1495
"26"	48	38	"modern"	0	358	0	5	21	20	1865
"27"	47	16	"modern"	0	26	0	6	9	19	1545
"28"	51	30	"modern"	0	210	0	1	22	15	1555
"29"	45	42	"modern"	0	79	1	6	14	14	1940
"30"	51	22	"modern"	0	196	0	10	18	16	1745
"31"	50	56	"modern"	1	48	0	4	16	22	2405
"32"	57	16	"modern"	0	190	0	2	7	23	1685
"33"	49	36	"modern"	0	257	0	2	9	17	1845
"34"	50	16	"modern"	0	68	0	6	18	24	1565
"35"	47	4	"modern"	0	82	1	9	4	17	1440
"36"	49	22	"modern"	0	317	0	3	28	23	1465
"37"	51	54	"modern"	0	285	1	2	26	21	2130
"38"	52	30	"modern"	1	270	1	2	23	22	1810
"39"	54	26	"modern"	0	93	1	6	25	19	1740
"40"	54	58	"modern"	0	104	1	1	6	20	2400
"41"	50	48	"modern"	0	161	0	2	6	20	2165
"42"	56	52	"modern"	0	4	0	5	20	22	2335
"43"	43	46	"modern"	1	185	0	2	28	14	1805
"44"	52	40	"modern"	0	330	0	6	2	17	2175
"45"	48	26	"modern"	0	268	0	5	15	15	1635
"46"	55	42	"modern"	0	264	0	3	14	24	2135
"47"	49	8	"modern"	0	12	0	3	20	19	1225
"48"	55	32	"modern"	0	356	0	2	9	25	1965
"49"	50	40	"modern"	0	147	1	7	10	21	2140
"50"	42	40	"modern"	0	216	0	8	14	19	1935
"51"	48	32	"modern"	0	300	0	6	14	22	1865
"52"	43	2	"modern"	0	285	0	3	30	20	895
"53"	51	40	"modern"	0	171	1	2	23	27	1940
"54"	58	50	"modern"	1	22	0	3	23	17	2295
"55"	41	60	"modern"	0	330	0	4	27	16	2035
"56"	54	8	"modern"	1	96	0	4	9	24	1615
"57"	44	32	"modern"	0	71	0	7	1	19	1915
"58"	57	38	"modern"	0	362	1	1	26	16	4820
"59"	56	48	"modern"	0	130	1	5	28	20	2170
"60"	47	32	"modern"	0	158	0	1	11	24	1715
"61"	49	36	"modern"	0	44	0	5	11	24	1985
"62"	50	42	"modern"	0	242	1	2	24	15	1830
"63"	48	36	"modern"	0	349	0	4	26	22	1765
"64"	60	0	"classic"	0	105	1	1	1	18	4385
"65"	51	32	"modern"	1	326	1	1	22	21	1770
"66"	47	38	"modern"	1	356	0	3	5	15	1995
"67"	53	50	"modern"	0	78	0	3	8	21	2285
"68"	51	16	"modern"	0	297	0	1	11	20	4435
"69"	50	56	"modern"	0	198	0	4	3	24	2455
"70"	50	14	"modern"	1	187	0	8	25	20	1575
"71"	52	60	"modern"	0	147	0	3	17	23	2395
"72"	46	26	"modern"	0	39	0	4	10	18	1645
"73"	45	42	"modern"	1	78	1	7	6	24	2250
"74"	57	90	"modern"	1	15	0	3	3	22	3325
"75"	42	32	"modern"	0	302	1	1	13	18	4550
"76"	50	16	"modern"	0	208	0	2	5	18	1515
"77"	46	48	"modern"	0	298	0	6	8	22	2205
"78"	51	54	"modern"	1	13	0	6	23	19	2345
"79"	54	80	"modern"	0	52	0	4	23	19	2765
"80"	42	62	"modern"	0	252	0	4	10	26	2365
"81"	54	18	"modern"	0	72	0	4	10	20	1665
"82"	50	38	"classic"	0	14	0	3	4	19	2000
"83"	45	40	"modern"	0	69	1	3	27	14	1680
"84"	42	32	"modern"	0	51	0	1	18	13	4435
"85"	53	2	"modern"	0	215	0	5	9	16	1325
"86"	49	0	"modern"	0	275	0	1	8	18	1085
"87"	51	46	"modern"	1	101	0	2	18	18	2105
"88"	53	40	"modern"	1	189	0	2	19	18	2015
"89"	57	50	"modern"	1	224	0	2	21	24	2335
"90"	50	2	"modern"	1	290	0	5	19	22	1325
"91"	48	32	"modern"	0	121	0	1	8	19	4715
"92"	56	6	"modern"	0	103	0	1	14	15	4255
"93"	46	32	"modern"	0	204	1	1	3	21	1760
"94"	45	32	"classic"	0	307	0	4	10	21	1770
"95"	48	0	"modern"	0	262	0	5	10	19	1205
"96"	60	46	"modern"	0	218	1	7	25	19	2290
"97"	47	0	"modern"	0	96	0	3	16	12	995
"98"	52	44	"modern"	0	257	1	1	25	23	4920
"99"	45	36	"classic"	0	147	0	5	20	18	1750
"100"	45	46	"modern"	0	274	0	3	6	11	1965
"101"	49	36	"modern"	0	315	1	9	8	22	2130
"102"	55	4	"classic"	0	323	1	7	25	20	1355
"103"	48	48	"classic"	0	30	0	3	10	26	2170
"104"	53	50	"modern"	1	180	0	3	25	20	2205
"105"	44	18	"modern"	0	268	0	1	11	24	4375
"106"	48	0	"modern"	0	86	1	2	27	20	970
"107"	47	40	"modern"	0	251	0	7	26	20	1895
"108"	49	82	"modern"	0	92	1	1	15	24	2730
"109"	55	40	"modern"	1	34	1	5	6	21	2320
"110"	50	12	"modern"	0	139	0	5	24	23	1385
"111"	51	0	"modern"	0	259	0	8	28	17	1155
"112"	51	0	"modern"	0	10	0	2	29	22	1015
"113"	48	54	"modern"	0	41	0	1	29	19	1945
"114"	44	38	"modern"	0	321	1	9	14	19	1980
"115"	49	8	"classic"	0	160	1	2	16	20	1255
"116"	51	56	"modern"	0	338	0	2	2	25	2435
"117"	54	60	"modern"	0	320	0	8	3	20	2695
"118"	49	52	"modern"	0	182	0	1	5	19	2165
"119"	49	42	"modern"	0	186	0	4	25	25	1945
"120"	56	16	"modern"	0	243	1	3	1	19	1730
"121"	47	12	"modern"	0	284	1	1	4	18	4340
"122"	52	2	"classic"	0	341	1	1	7	20	4225
