"checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"1","< 0 DM",6,"critical","furniture/appliances",1169,"unknown","> 7 years",4,4,67,"none","own",2,"skilled",1,"yes","no"
"2","1 - 200 DM",48,"good","furniture/appliances",5951,"< 100 DM","1 - 4 years",2,2,22,"none","own",1,"skilled",1,"no","yes"
"3","unknown",12,"critical","education",2096,"< 100 DM","4 - 7 years",2,3,49,"none","own",1,"unskilled",2,"no","no"
"4","< 0 DM",42,"good","furniture/appliances",7882,"< 100 DM","4 - 7 years",2,4,45,"none","other",1,"skilled",2,"no","no"
"5","< 0 DM",24,"poor","car",4870,"< 100 DM","1 - 4 years",3,4,53,"none","other",2,"skilled",2,"no","yes"
"6","unknown",36,"good","education",9055,"unknown","1 - 4 years",2,4,35,"none","other",1,"unskilled",2,"yes","no"
"7","unknown",24,"good","furniture/appliances",2835,"500 - 1000 DM","> 7 years",3,4,53,"none","own",1,"skilled",1,"no","no"
"8","1 - 200 DM",36,"good","car",6948,"< 100 DM","1 - 4 years",2,2,35,"none","rent",1,"management",1,"yes","no"
"9","unknown",12,"good","furniture/appliances",3059,"> 1000 DM","4 - 7 years",2,4,61,"none","own",1,"unskilled",1,"no","no"
"10","1 - 200 DM",30,"critical","car",5234,"< 100 DM","unemployed",4,2,28,"none","own",2,"management",1,"no","yes"
"11","1 - 200 DM",12,"good","car",1295,"< 100 DM","< 1 year",3,1,25,"none","rent",1,"skilled",1,"no","yes"
"12","< 0 DM",48,"good","business",4308,"< 100 DM","< 1 year",3,4,24,"none","rent",1,"skilled",1,"no","yes"
"13","1 - 200 DM",12,"good","furniture/appliances",1567,"< 100 DM","1 - 4 years",1,1,22,"none","own",1,"skilled",1,"yes","no"
"14","< 0 DM",24,"critical","car",1199,"< 100 DM","> 7 years",4,4,60,"none","own",2,"unskilled",1,"no","yes"
"15","< 0 DM",15,"good","car",1403,"< 100 DM","1 - 4 years",2,4,28,"none","rent",1,"skilled",1,"no","no"
"16","< 0 DM",24,"good","furniture/appliances",1282,"100 - 500 DM","1 - 4 years",4,2,32,"none","own",1,"unskilled",1,"no","yes"
"17","unknown",24,"critical","furniture/appliances",2424,"unknown","> 7 years",4,4,53,"none","own",2,"skilled",1,"no","no"
"18","< 0 DM",30,"perfect","business",8072,"unknown","< 1 year",2,3,25,"bank","own",3,"skilled",1,"no","no"
"19","1 - 200 DM",24,"good","car",12579,"< 100 DM","> 7 years",4,2,44,"none","other",1,"management",1,"yes","yes"
"20","unknown",24,"good","furniture/appliances",3430,"500 - 1000 DM","> 7 years",3,2,31,"none","own",1,"skilled",2,"yes","no"
"21","unknown",9,"critical","car",2134,"< 100 DM","1 - 4 years",4,4,48,"none","own",3,"skilled",1,"yes","no"
"22","< 0 DM",6,"good","furniture/appliances",2647,"500 - 1000 DM","1 - 4 years",2,3,44,"none","rent",1,"skilled",2,"no","no"
"23","< 0 DM",10,"critical","car",2241,"< 100 DM","< 1 year",1,3,48,"none","rent",2,"unskilled",2,"no","no"
"24","1 - 200 DM",12,"critical","car",1804,"100 - 500 DM","< 1 year",3,4,44,"none","own",1,"skilled",1,"no","no"
"25","unknown",10,"critical","furniture/appliances",2069,"unknown","1 - 4 years",2,1,26,"none","own",2,"skilled",1,"no","no"
"26","< 0 DM",6,"good","furniture/appliances",1374,"< 100 DM","1 - 4 years",1,2,36,"bank","own",1,"unskilled",1,"yes","no"
"27","unknown",6,"perfect","furniture/appliances",426,"< 100 DM","> 7 years",4,4,39,"none","own",1,"unskilled",1,"no","no"
"28","> 200 DM",12,"very good","furniture/appliances",409,"> 1000 DM","1 - 4 years",3,3,42,"none","rent",2,"skilled",1,"no","no"
"29","1 - 200 DM",7,"good","furniture/appliances",2415,"< 100 DM","1 - 4 years",3,2,34,"none","own",1,"skilled",1,"no","no"
"30","< 0 DM",60,"poor","business",6836,"< 100 DM","> 7 years",3,4,63,"none","own",2,"skilled",1,"yes","yes"
"31","1 - 200 DM",18,"good","business",1913,"> 1000 DM","< 1 year",3,3,36,"bank","own",1,"skilled",1,"yes","no"
"32","< 0 DM",24,"good","furniture/appliances",4020,"< 100 DM","1 - 4 years",2,2,27,"store","own",1,"skilled",1,"no","no"
"33","1 - 200 DM",18,"good","car",5866,"100 - 500 DM","1 - 4 years",2,2,30,"none","own",2,"skilled",1,"yes","no"
"34","unknown",12,"critical","business",1264,"unknown","> 7 years",4,4,57,"none","rent",1,"unskilled",1,"no","no"
"35","> 200 DM",12,"good","furniture/appliances",1474,"< 100 DM","< 1 year",4,1,33,"bank","own",1,"management",1,"yes","no"
"36","1 - 200 DM",45,"critical","furniture/appliances",4746,"< 100 DM","< 1 year",4,2,25,"none","own",2,"unskilled",1,"no","yes"
"37","unknown",48,"critical","education",6110,"< 100 DM","1 - 4 years",1,3,31,"bank","other",1,"skilled",1,"yes","no"
"38","> 200 DM",18,"good","furniture/appliances",2100,"< 100 DM","1 - 4 years",4,2,37,"store","own",1,"skilled",1,"no","yes"
"39","> 200 DM",10,"good","furniture/appliances",1225,"< 100 DM","1 - 4 years",2,2,37,"none","own",1,"skilled",1,"yes","no"
"40","1 - 200 DM",9,"good","furniture/appliances",458,"< 100 DM","1 - 4 years",4,3,24,"none","own",1,"skilled",1,"no","no"
"41","unknown",30,"good","furniture/appliances",2333,"500 - 1000 DM","> 7 years",4,2,30,"bank","own",1,"management",1,"no","no"
"42","1 - 200 DM",12,"good","furniture/appliances",1158,"500 - 1000 DM","1 - 4 years",3,1,26,"none","own",1,"skilled",1,"yes","no"
"43","1 - 200 DM",18,"poor","renovations",6204,"< 100 DM","1 - 4 years",2,4,44,"none","own",1,"unskilled",2,"yes","no"
