"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests.found"	"parrots.lifetime"	"favorite.pirate"	"sword.type"	"sword.speed"
"1"	1	"female"	"yes"	37	"JSSFP"	9	6	2	"Hook"	"cutlass"	0.257261192018632
"2"	2	"female"	"yes"	34	"JSSFP"	14	6	5	"Lewis Scot"	"cutlass"	0.293502368149348
"3"	3	"male"	"no"	29	"CCCC"	9	1	13	"Jack Sparrow"	"scimitar"	0.869879713281989
"4"	4	"female"	"yes"	30	"JSSFP"	9	1	5	"Lewis Scot"	"cutlass"	0.183223469939549
"5"	5	"male"	"yes"	16	"CCCC"	12	4	1	"Hook"	"cutlass"	0.375428117113188
"6"	6	"male"	"yes"	27	"CCCC"	6	1	1	"Jack Sparrow"	"cutlass"	0.154281037102919
"7"	7	"female"	"yes"	44	"JSSFP"	6	1	5	"Edward Low"	"cutlass"	1.0633609489944
"8"	8	"male"	"yes"	26	"CCCC"	6	2	1	"Jack Sparrow"	"cutlass"	1.16652314080262
"9"	9	"male"	"yes"	18	"CCCC"	10	2	3	"Edward Low"	"cutlass"	1.47467284906801
"10"	10	"male"	"yes"	31	"JSSFP"	11	5	4	"Jack Sparrow"	"cutlass"	1.30753071621566
"11"	11	"female"	"yes"	27	"CCCC"	9	8	3	"Hook"	"cutlass"	0.195152297092136
"12"	12	"male"	"yes"	16	"CCCC"	10	3	1	"Blackbeard"	"cutlass"	0.0865792823606171
"13"	13	"female"	"yes"	35	"JSSFP"	5	27	2	"Lewis Scot"	"banana"	7.14745070114372
"14"	14	"female"	"yes"	40	"JSSFP"	9	17	2	"Jack Sparrow"	"cutlass"	3.07082287133919
"15"	15	"other"	"yes"	23	"CCCC"	12	20	3	"Anicetus"	"cutlass"	0.589722830636257
"16"	16	"female"	"no"	44	"JSSFP"	9	3	4	"Lewis Scot"	"banana"	1.0902691106231
"17"	17	"male"	"yes"	26	"CCCC"	14	1	4	"Hook"	"cutlass"	0.564588449752711
"18"	18	"male"	"yes"	29	"CCCC"	11	12	2	"Jack Sparrow"	"cutlass"	2.30531888684244
"19"	19	"male"	"yes"	29	"CCCC"	7	3	0	"Jack Sparrow"	"cutlass"	1.47689592434599
"20"	20	"female"	"yes"	32	"CCCC"	12	19	8	"Blackbeard"	"cutlass"	0.755681660931379
"21"	21	"male"	"yes"	33	"JSSFP"	7	2	3	"Jack Sparrow"	"cutlass"	0.0320729127839281
"22"	22	"male"	"yes"	22	"CCCC"	13	4	7	"Jack Sparrow"	"cutlass"	0.301691576896701
"23"	23	"female"	"yes"	38	"JSSFP"	11	35	1	"Blackbeard"	"cutlass"	1.06740187858338
"24"	24	"male"	"yes"	28	"JSSFP"	11	5	0	"Hook"	"cutlass"	0.172283839400519
"25"	25	"male"	"yes"	30	"CCCC"	9	3	5	"Jack Sparrow"	"cutlass"	0.233230816374999
"26"	26	"female"	"yes"	26	"CCCC"	5	12	2	"Blackbeard"	"cutlass"	0.197189231112134
"27"	27	"female"	"yes"	27	"CCCC"	6	1	4	"Jack Sparrow"	"cutlass"	1.160586936114
"28"	28	"male"	"yes"	25	"CCCC"	12	4	2	"Jack Sparrow"	"cutlass"	0.245833325261046
"29"	29	"male"	"yes"	25	"CCCC"	9	8	1	"Jack Sparrow"	"cutlass"	0.403950054023881
"30"	30	"male"	"yes"	22	"CCCC"	13	13	1	"Jack Sparrow"	"cutlass"	1.9975814558205
"31"	31	"female"	"yes"	25	"CCCC"	13	26	2	"Lewis Scot"	"scimitar"	9.64640026870084
"32"	32	"female"	"yes"	33	"JSSFP"	9	10	3	"Jack Sparrow"	"cutlass"	0.317933968908619
"33"	33	"female"	"yes"	33	"JSSFP"	11	13	0	"Edward Low"	"cutlass"	0.191465569231626
"34"	34	"male"	"yes"	31	"JSSFP"	5	0	3	"Jack Sparrow"	"cutlass"	0.628272509156078
"35"	35	"female"	"yes"	38	"JSSFP"	5	3	6	"Edward Low"	"cutlass"	0.143306255340576
"36"	36	"male"	"yes"	22	"CCCC"	8	4	5	"Jack Sparrow"	"scimitar"	10.4226046514915
"37"	37	"male"	"yes"	22	"CCCC"	12	4	1	"Jack Sparrow"	"cutlass"	0.312877742107958
"38"	38	"male"	"no"	27	"CCCC"	9	13	3	"Jack Sparrow"	"banana"	1.34235441552874
"39"	39	"female"	"yes"	30	"JSSFP"	10	11	8	"Hook"	"cutlass"	1.74887903273308
"40"	40	"male"	"yes"	27	"CCCC"	7	6	3	"Jack Sparrow"	"cutlass"	0.45434300843329
"41"	41	"female"	"yes"	23	"CCCC"	9	15	4	"Anicetus"	"cutlass"	0.579675013406023
"42"	42	"female"	"yes"	28	"JSSFP"	12	11	1	"Anicetus"	"cutlass"	0.10432196140755
"43"	43	"male"	"yes"	34	"JSSFP"	8	11	4	"Jack Sparrow"	"cutlass"	0.621341219689922
"44"	44	"male"	"yes"	21	"CCCC"	14	2	2	"Jack Sparrow"	"cutlass"	0.549797289396457
"45"	45	"female"	"yes"	28	"JSSFP"	10	2	9	"Hook"	"cutlass"	0.367784907866735
"46"	46	"male"	"yes"	19	"CCCC"	14	1	5	"Jack Sparrow"	"cutlass"	0.5697058961697
"47"	47	"male"	"yes"	32	"CCCC"	10	1	0	"Jack Sparrow"	"scimitar"	13.9358073562486
"48"	48	"female"	"no"	27	"CCCC"	1	5	0	"Jack Sparrow"	"scimitar"	4.43753538321809
"49"	49	"female"	"yes"	26	"CCCC"	7	5	1	"Edward Low"	"scimitar"	2.88169168168679
"50"	50	"male"	"yes"	30	"CCCC"	6	8	2	"Jack Sparrow"	"cutlass"	0.262087840237655
"51"	51	"male"	"yes"	29	"CCCC"	11	6	1	"Jack Sparrow"	"cutlass"	0.38254935760051
"52"	52	"female"	"no"	36	"JSSFP"	4	4	0	"Blackbeard"	"banana"	0.164450506235189
"53"	53	"female"	"no"	21	"CCCC"	9	6	0	"Hook"	"cutlass"	0.358569489185815
"54"	54	"female"	"no"	34	"JSSFP"	0	11	11	"Hook"	"sabre"	4.27887495050948
"55"	55	"male"	"yes"	29	"JSSFP"	8	2	0	"Anicetus"	"cutlass"	0.435935979537317
