"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"sword.time"	"eyepatch"	"beard.length"
"1"	1	"female"	"yes"	38	"JSSFP"	16	19	8	"Hook"	"cutlass"	0.32	1	0
"2"	2	"female"	"yes"	34	"JSSFP"	15	4	3	"Hook"	"cutlass"	0.07	1	0
"3"	3	"male"	"yes"	27	"CCCC"	11	2	0	"Anicetus"	"cutlass"	0.28	1	28
"4"	4	"male"	"yes"	29	"CCCC"	7	1	2	"Jack Sparrow"	"cutlass"	0.56	1	21
"5"	5	"male"	"yes"	23	"CCCC"	12	3	2	"Jack Sparrow"	"cutlass"	0.1	0	15
"6"	6	"female"	"yes"	34	"JSSFP"	7	2	7	"Hook"	"cutlass"	0.15	0	0
"7"	7	"male"	"yes"	20	"CCCC"	8	4	1	"Anicetus"	"scimitar"	0.2	0	22
"8"	8	"female"	"yes"	30	"CCCC"	7	13	0	"Edward Low"	"cutlass"	0.53	1	0
"9"	9	"male"	"yes"	32	"JSSFP"	12	21	2	"Hook"	"cutlass"	0.09	1	26
"10"	10	"male"	"yes"	24	"CCCC"	10	0	9	"Edward Low"	"sabre"	0.37	1	23
"11"	11	"female"	"yes"	29	"CCCC"	6	1	4	"Jack Sparrow"	"sabre"	2.16	1	0
"12"	12	"female"	"yes"	34	"JSSFP"	11	6	2	"Jack Sparrow"	"scimitar"	10.69	1	0
"13"	13	"male"	"yes"	24	"CCCC"	8	14	2	"Jack Sparrow"	"cutlass"	0.11	1	24
"14"	14	"male"	"yes"	25	"CCCC"	8	12	5	"Anicetus"	"cutlass"	0.14	0	17
"15"	15	"female"	"yes"	35	"JSSFP"	11	8	3	"Lewis Scot"	"cutlass"	2.12	1	0
"16"	16	"female"	"yes"	30	"JSSFP"	17	6	3	"Blackbeard"	"cutlass"	0.67	0	0
"17"	17	"female"	"yes"	24	"CCCC"	11	5	1	"Jack Sparrow"	"cutlass"	0.82	1	0
