"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests.found"	"parrots.lifetime"	"favorite.pirate"	"sword.type"	"sword.speed"
"1"	1	"male"	"yes"	22	NA	9	14	4	"Hook"	"cutlass"	0.427700738655403
"2"	2	"female"	"yes"	18	"CCCC"	10	2	2	"Lewis Scot"	"cutlass"	1.27003526130324
"3"	3	"male"	"yes"	22	"CCCC"	9	16	1	"Hook"	"cutlass"	0.199301251850557
"4"	4	"female"	"yes"	38	"JSSFP"	8	10	0	"Edward Low"	"cutlass"	0.555906733471721
"5"	5	"male"	"yes"	26	"CCCC"	17	2	4	"Jack Sparrow"	"cutlass"	0.0806338977417909
"6"	6	"female"	"yes"	34	"JSSFP"	11	2	1	"Blackbeard"	"cutlass"	0.243755755363964
"7"	7	"female"	"yes"	31	"CCCC"	9	6	3	"Blackbeard"	"cutlass"	0.218292902573012
"8"	8	"other"	"yes"	27	"CCCC"	10	0	5	"Jack Sparrow"	"cutlass"	1.19724271580914
"9"	9	"female"	"yes"	30	"CCCC"	6	2	1	"Blackbeard"	"cutlass"	0.0666096724952426
"10"	10	"male"	"yes"	21	"CCCC"	5	2	3	"Jack Sparrow"	"cutlass"	1.18934378604741
"11"	11	"other"	"yes"	32	"CCCC"	8	17	5	"Jack Sparrow"	"cutlass"	0.523874381880097
"12"	12	"female"	"yes"	26	"CCCC"	6	5	6	"Blackbeard"	"cutlass"	0.941759335057453
"13"	13	"male"	"yes"	38	"JSSFP"	12	17	3	"Jack Sparrow"	"scimitar"	0.196778746321797
"14"	14	"female"	"yes"	22	"CCCC"	14	16	9	"Lewis Scot"	"cutlass"	1.03149603040154
"15"	15	"male"	"yes"	21	"CCCC"	17	18	3	"Jack Sparrow"	"cutlass"	0.485559544747402
"16"	16	"female"	"yes"	40	"JSSFP"	8	28	9	"Anicetus"	"cutlass"	0.253114161314443
"17"	17	"female"	"yes"	34	"JSSFP"	7	3	1	"Anicetus"	"cutlass"	1.12816395349206
