"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"sword.time"	"eyepatch"	"beard.length"	"fav.pixar"
"1"	1	"female"	"yes"	32	"JSSFP"	17	4	1	"Lewis Scot"	"cutlass"	0.43	1	1	"Inside Out"
"2"	2	"male"	"yes"	20	"CCCC"	11	1	3	"Jack Sparrow"	"cutlass"	0.05	1	17	"Monsters University"
"3"	3	"male"	"yes"	35	"JSSFP"	4	3	1	"Jack Sparrow"	"cutlass"	0.27	1	15	"The Incredibles"
"4"	4	"female"	"no"	33	"JSSFP"	1	12	2	"Jack Sparrow"	"sabre"	1.67	1	0	"Inside Out"
"5"	5	"male"	"yes"	25	"CCCC"	16	14	9	"Jack Sparrow"	"cutlass"	0.13	1	38	"Inside Out"
"6"	6	"female"	"yes"	26	"CCCC"	8	0	0	"Hook"	"cutlass"	0.34	0	0	"The Incredibles"
"7"	7	"female"	"yes"	33	"JSSFP"	10	19	0	"Hook"	"cutlass"	0.14	1	0	"Finding Nemo"
"8"	8	"female"	"yes"	24	"CCCC"	3	15	2	"Jack Sparrow"	"cutlass"	0.09	1	2	"Inside Out"
"9"	9	"female"	"yes"	33	"JSSFP"	10	9	12	"Lewis Scot"	"cutlass"	0.46	0	0	"Finding Nemo"
"10"	10	"male"	"yes"	NA	"CCCC"	5	1	3	"Jack Sparrow"	"cutlass"	0.07	1	9	"The Incredibles"
"11"	11	"female"	"no"	29	"CCCC"	6	10	1	"Jack Sparrow"	"scimitar"	13.3	1	0	"Inside Out"
"12"	12	"male"	"no"	26	"JSSFP"	5	1	1	"Jack Sparrow"	"sabre"	1.82	0	25	"The Incredibles"
"13"	13	"male"	"yes"	26	"CCCC"	14	28	0	"Jack Sparrow"	"cutlass"	2.3	1	24	"Toy Story 2"
"14"	14	"male"	"yes"	28	"CCCC"	10	8	3	"Jack Sparrow"	"cutlass"	1.69	1	18	"Monsters University"
"15"	15	"male"	"yes"	23	"CCCC"	5	5	4	"Jack Sparrow"	"cutlass"	0.61	1	16	"Inside Out"
"16"	16	"female"	"no"	29	"JSSFP"	12	2	4	"Blackbeard"	"sabre"	9.94	0	0	"Finding Nemo"
"17"	17	"male"	"yes"	27	"CCCC"	9	6	0	"Jack Sparrow"	"scimitar"	6.01	1	21	"Brave"
"18"	18	"female"	"yes"	34	"JSSFP"	6	4	0	"Anicetus"	"cutlass"	0.15	0	0	"Finding Nemo"
"19"	19	"female"	"yes"	32	"JSSFP"	11	2	1	"Blackbeard"	"cutlass"	0.1	1	0	"Inside Out"
"20"	20	"male"	"yes"	26	"CCCC"	9	17	1	"Jack Sparrow"	"cutlass"	0.73	0	15	"Finding Nemo"
"21"	21	"female"	"no"	31	"JSSFP"	1	11	6	"Blackbeard"	"banana"	13.01	1	0	"Inside Out"
"22"	22	"male"	"yes"	21	"CCCC"	6	3	1	"Jack Sparrow"	"cutlass"	0.55	1	16	"Cars"
"23"	23	"male"	"yes"	24	"CCCC"	15	16	3	"Jack Sparrow"	"cutlass"	0.18	0	27	"Finding Nemo"
"24"	24	"male"	"yes"	21	"CCCC"	9	12	2	"Edward Low"	"cutlass"	0.23	1	13	"WALL-E"
"25"	25	"female"	"sometimes"	29	"CCCC"	11	12	1	"Hook"	"cutlass"	0.06	1	2	"Inside Out"
"26"	26	"female"	"yes"	29	"CCCC"	6	NA	2	"Edward Low"	"cutlass"	0.7	1	0	"WALL-E"
"27"	27	"female"	"yes"	35	"JSSFP"	8	0	4	"Hook"	"banana"	41.57	0	0	"Finding Nemo"
