"cannons"	"rooms"	"age"	"style"	"condition"	"weight"	"color"	"price"
"1"	20	30	55.8	"modern"	5	4944.20776456594	"brown"	-6533
"2"	2	34	56.7	"modern"	8	5088.3458418251	"brown"	8567
"3"	6	18	48.4	"modern"	5	4353.1867844365	"brown"	-130
"4"	14	38	52.8	"classic"	4	5754.09627220887	"black"	32410
"5"	20	34	62.8	"classic"	4	4524.77841566791	"red"	35381
"6"	4	26	52.9	"classic"	5	6160.29323242847	"red"	23519
"7"	16	14	26.6	"modern"	5	4591.69549283157	"black"	32917
"8"	2	54	42.6	"modern"	4	5140.14615759946	"black"	-15573
"9"	12	14	56.9	"modern"	8	4903.64480690905	"brown"	-4766
"10"	14	14	34.8	"modern"	10	5001.29585608438	"black"	774
"11"	4	42	41.2	"classic"	3	5130.24941746012	"brown"	38580
"12"	6	34	64.6	"classic"	8	4735.17150507359	"black"	32155
"13"	6	50	42.9	"modern"	1	4738.37742130172	"brown"	14591
"14"	16	18	50	"modern"	2	5021.56210453624	"red"	-5191
"15"	2	34	51.4	"modern"	9	4583.42920266088	"red"	6971
"16"	8	14	32.8	"modern"	1	4640.6023031179	"black"	15748
"17"	18	38	61.6	"classic"	6	5164.61662020073	"red"	44408
"18"	2	22	58.5	"classic"	2	5077.89030529246	"red"	27578
"19"	16	18	45.1	"modern"	5	5477.82629050986	"brown"	3541
"20"	12	46	45.3	"modern"	3	4398.57636256329	"black"	-19701
"21"	8	22	76.5	"modern"	8	4722.23599237806	"red"	-17505
"22"	2	26	44.9	"classic"	2	4092.50834377423	"brown"	23470
"23"	14	14	44.7	"classic"	6	5546.16179291482	"red"	25340
"24"	4	34	31	"modern"	7	5023.60130309595	"black"	22419
"25"	2	30	56.1	"classic"	3	5329.39837410911	"black"	37719
"26"	20	46	60	"classic"	8	4873.93158756257	"black"	28848
"27"	20	38	56.8	"classic"	3	4652.2061494623	"black"	42390
"28"	18	50	52.2	"classic"	6	4597.89960514886	"brown"	37412
"29"	20	54	63.5	"modern"	7	5536.45108026318	"black"	38617
"30"	4	14	57.7	"classic"	6	5800.87584760925	"black"	10914
"31"	12	42	29.7	"modern"	4	5219.5506911877	"brown"	12817
"32"	14	50	51.4	"modern"	7	5606.23449087415	"black"	19196
"33"	16	42	48.8	"classic"	5	5292.15291381883	"red"	38766
"34"	8	42	43.2	"classic"	3	4923.55929053719	"black"	32314
"35"	2	46	49.1	"classic"	3	4692.8245602421	"red"	40514
