"name"	"boxoffice.total"	"boxoffice.domestic"	"boxoffice.international"	"dvd.domestic"	"budget"	"rating"	"genre"	"creative.type"	"time"	"year"	"production.method"	"sequel"	"boxoffice.domestic.inflationadj"	"budget.millions"	"boxoffice.total.millions"	"revenue.d.budget"
"1"	"Avatar"	2783918982	760507625	2023411357	230915507	425000000	"PG-13"	"Action"	"Science Fiction"	162	2009	"Animation/Live Action"	0	826198130	425	2783.918982	6.55039760470588
"2"	"Titanic"	2207615668	658672302	1548943366	NA	200000000	"PG-13"	"Thriller/Suspense"	"Historical Fiction"	194	1997	"Live Action"	0	1139182838	200	2207.615668	11.03807834
"3"	"Jurassic World"	1665443635	651443635	1014000000	NA	215000000	"PG-13"	"Action"	"Science Fiction"	124	2015	"Live Action"	1	651443635	215	1665.443635	7.74624946511628
"4"	"The Avengers"	1519479547	623279547	896200000	109515497	225000000	"PG-13"	"Adventure"	"Super Hero"	143	2012	"Animation/Live Action"	0	655383136	225	1519.479547	6.75324243111111
"5"	"Furious 7"	1516246709	351032910	1165213799	14947559	190000000	"PG-13"	"Action"	"Contemporary Fiction"	137	2014	"Live Action"	1	351032910	190	1516.246709	7.9802458368421
"6"	"The Avengers: Age of Ultron"	1404705868	459005868	945700000	7312791	250000000	"PG-13"	"Action"	"Super Hero"	141	2015	"Live Action"	1	459005868	250	1404.705868	5.618823472
"7"	"Harry Potter and the Deathly Hallows: Part II"	1341511219	381011219	960500000	100789867	125000000	"PG-13"	"Adventure"	"Fantasy"	131	2011	"Animation/Live Action"	1	402151808	125	1341.511219	10.732089752
"8"	"Frozen"	1274234980	400738009	873496971	204294533	150000000	"PG"	"Adventure"	"Kids Fiction"	102	2013	"Digital Animation"	0	412043457	150	1274.23498	8.49489986666667
"9"	"Iron Man 3"	1215392272	408992272	806400000	25338875	200000000	"PG-13"	"Action"	"Super Hero"	130	2012	"Animation/Live Action"	1	421065840	200	1215.392272	6.07696136
"10"	"Minions"	1152944425	334544425	818400000	NA	74000000	"PG"	"Comedy"	"Kids Fiction"	91	2014	"Digital Animation"	0	334544425	74	1152.944425	15.5803300675676
"11"	"The Lord of the Rings: The Return of the King"	1141408667	377845905	763562762	NA	94000000	"PG-13"	"Adventure"	"Fantasy"	201	2003	"Animation/Live Action"	1	520711377	94	1141.408667	12.142645393617
