"movie7653.name"	"total.boxoffice.earnings"	"dvd.earnings.in.us.639c"	"total.movie.budget"	"rating.GPGPG13RNC17"	"genreX8423"	"TIME"	"year.of.release"	"sequel"
"1"	"Avatar"	2783918982	230915507	4.25e+08	"13"	"Action"	"162"	2009	"0"
"2"	"Titanic"	2207615668	NA	2e+08	"PG13"	"Thriller/Suspense"	"194"	1997	"0"
"3"	"Jurassic World"	1665443635	NA	2.15e+08	"13"	"Action"	"124"	2015	"1"
"4"	"The Avengers"	1519479547	109515497	2.25e+08	"13"	"Adventure"	"143"	2012	"0"
"5"	"Furious 7"	1516246709	14947559	1.9e+08	"PG13"	"Action"	"137"	2014	"1"
"6"	"The Avengers: Age of Ultron"	1404705868	7312791	2.5e+08	"PG13"	"Action"	"141"	2015	"1"
"7"	"Harry Potter and the Deathly Hallows: Part II"	1341511219	100789867	1.25e+08	"PG-13"	"Adventure"	"-20"	2011	"1"
"8"	"Frozen"	1274234980	204294533	1.5e+08	"PG"	"Adventure"	"102"	2013	"0"
"9"	"Iron Man 3"	1215392272	25338875	2e+08	"13"	"Action"	"130"	2012	"1"
"10"	"Minions"	1152944425	NA	7.4e+07	"PG"	"Comedy"	"91"	2014	"0"
"11"	"The Lord of the Rings: The Return of the King"	1141408667	NA	9.4e+07	"PG-13"	"Adventure"	"201"	2003	"1"
"12"	"Transformers: Dark of the Moon"	1123790543	56576552	1.95e+08	"PG13"	"Action"	"154"	2011	"1"
"13"	"Skyfall"	1110526981	47624100	2e+08	"PG13"	"Action"	"143"	2012	"1"
"14"	"Transformers: Age of Extinction"	1104039076	25336981	2.1e+08	"PG-13"	"Action"	"165"	2014	"1"
"15"	"The Dark Knight Rises"	1084439099	71525203	2.75e+08	"PG13"	"Action"	"164"	2012	"1"
"16"	"Toy Story 3"	1069818229	188210318	2e+08	"General"	"Adventure"	"102"	2010	"1"
"17"	"Pirates of the Caribbean: Dead Man's Chest"	1066215812	320862849	2.25e+08	"PG-13"	"Adventure"	"151"	2006	"1"
"18"	"Pirates of the Caribbean: On Stranger Tides"	1045663875	30431582	2.5e+08	"PG-13"	"Adventure"	"136"	2011	"1"
"19"	"Jurassic Park"	1038812584	NA	6.3e+07	"PG13"	"Action"	"126"	1993	"0"
"20"	"Star Wars Ep. I: The Phantom Menace"	1027044677	NA	1.15e+08	"PG"	"Adventure"	"133"	1999	"1"
"21"	"Alice in Wonderland"	1025491110	82297116	2e+08	"PG"	"Adventure"	"108"	2010	"0"
"22"	"The Hobbit: An Unexpected Journey"	1017003568	34191124	2.5e+08	"PG13"	"Adventure"	"169"	2012	"1"
"23"	"The Dark Knight"	1002891358	282134660	1.85e+08	"PG-13"	"Action"	"152"	2008	"1"
"24"	"The Lion King"	987480140	86246006	79300000	"General"	"Adventure"	"87"	1994	"0"
"25"	"Despicable Me 2"	974873764	124381409	7.6e+07	"PG"	"Comedy"	"98"	2013	"1"
"26"	"Harry Potter and the Sorcerer’s Stone"	974755371	NA	1.25e+08	"PG"	"Adventure"	"152"	2001	"0"
"27"	"Pirates of the Caribbean: At World's End"	963420425	312228146	3e+08	"PG-13"	"Adventure"	"167"	2007	"1"
"28"	"The Hobbit: The Desolation of Smaug"	960366855	40247146	2.5e+08	"PG-13"	"Adventure"	"201"	2013	"1"
"29"	"Harry Potter and the Deathly Hallows: Part I"	959301070	94385569	1.25e+08	"13"	"Adventure"	"146"	2010	"1"
"30"	"The Hobbit: The Battle of the Five Armies"	955119788	22439417	2.5e+08	"13"	"Adventure"	"144"	2014	"1"
"31"	"Harry Potter and the Order of the Phoenix"	942943935	250892902	1.5e+08	"13"	"Adventure"	"138"	2007	"1"
"32"	"Finding Nemo"	936429370	NA	9.4e+07	"g"	"Adventure"	"100"	2003	"0"
"33"	"Harry Potter and the Half-Blood Prince"	935083686	144482964	2.5e+08	"PG"	"Adventure"	"153"	2009	"1"
"34"	"The Lord of the Rings: The Two Towers"	934703179	NA	9.4e+07	"PG13"	"Adventure"	"179"	2002	"1"
"35"	"Shrek 2"	932252921	NA	7e+07	"PG"	"Adventure"	"92"	2004	"1"
"36"	"Harry Potter and the Goblet of Fire"	896911078	540396685	1.5e+08	"13"	"Adventure"	"150"	2005	"1"
"37"	"Spider-Man 3"	890875303	125012910	2.58e+08	"PG13"	"Adventure"	"139"	2007	"1"
"38"	"The Lord of the Rings: The Fellowship of the Ring"	887217688	NA	1.09e+08	"PG-13"	"Adventure"	"179"	2001	"0"
"39"	"Ice Age: Continental Drift"	879765137	42909929	9.5e+07	"PG"	"Adventure"	"87"	2012	"1"
"40"	"Harry Potter and the Chamber of Secrets"	878979634	NA	1e+08	"PG"	"Adventure"	"161"	2002	"1"
"41"	"The Hunger Games: Catching Fire"	864868047	59695947	1.3e+08	"PG-13"	"Adventure"	"146"	2013	"1"
"42"	"Ice Age: Dawn of the Dinosaurs"	859701857	104078282	9e+07	"PG"	"Adventure"	"93"	2009	"1"
"43"	"Star Wars Ep. III: Revenge of the Sith"	848998877	NA	1.15e+08	"PG-13"	"Adventure"	"139"	2005	"1"
"44"	"Transformers: Revenge of the Fallen"	836519699	221996361	2.1e+08	"PG13"	"Action"	"149"	2009	"1"
"45"	"Inception"	832584416	86223190	1.6e+08	"PG-13"	"Thriller/Suspense"	"147"	2010	"0"
"46"	"Inside Out"	831635066	NA	0	"PG"	"Adventure"	"95"	2015	"0"
"47"	"The Twilight Saga: Breaking Dawn, Part 2"	829724737	76337759	136200000	"13"	"Drama"	"115"	2012	"1"
"48"	"Spider-Man"	821706375	NA	1.39e+08	"PG-13"	"Adventure"	"121"	2002	"0"
"49"	"Independence Day"	817355682	NA	7.5e+07	"PG-13"	"Adventure"	"145"	1996	"0"
"50"	"Shrek the Third"	805623351	176566326	1.6e+08	"PG"	"Adventure"	"92"	2007	"1"
"51"	"Harry Potter and the Prisoner of Azkaban"	796688549	NA	1.3e+08	"PG"	"Adventure"	"141"	2004	"1"
"52"	"ET: The Extra-Terrestrial"	792804231	NA	10500000	"PG"	"Drama"	"114"	1982	"0"
"53"	"Fast and Furious 6"	789952811	55233647	1.6e+08	"13"	"Action"	"130"	2012	"1"
"54"	"2012"	788408539	52100596	2e+08	"PG-13"	"Action"	"158"	2009	"0"
"55"	"Indiana Jones and the Kingdom of the Crystal Skull"	786558145	117107120	1.85e+08	"PG13"	"Adventure"	"123"	2008	"1"
"56"	"Star Wars Ep. IV: A New Hope"	786535665	22418062	1.1e+07	"PG"	"Adventure"	"119"	1977	"0"
"57"	"Spider-Man 2"	783705001	31244169	2e+08	"13"	"Adventure"	"127"	2004	"1"
"58"	"Guardians of the Galaxy"	771172112	42704948	1.7e+08	"13"	"REALITY"	"121"	2014	"0"
"59"	"The Da Vinci Code"	767820459	100215702	1.25e+08	"PG-13"	"Thriller/Suspense"	"152"	2006	"0"
"60"	"Maleficent"	758407328	35414055	1.8e+08	"PG"	"Adventure"	"97"	2013	"0"
"61"	"The Amazing Spider-Man"	757890267	38531840	2.2e+08	"13"	"Adventure"	"136"	2012	"1"
"62"	"Shrek Forever After"	755903876	60452574	1.65e+08	"PG"	"Adventure"	"93"	2010	"1"
"63"	"X-Men: Days of Future Past"	748121534	23245079	2e+08	"PG13"	"Action"	"131"	2014	"1"
"64"	"Madagascar 3: Europe's Most Wanted"	746921271	56109649	1.45e+08	"PG"	"Adventure"	"85"	2012	"1"
"65"	"Monsters University"	743588329	61063417	2e+08	"g"	"Adventure"	"102"	2012	"1"
"66"	"The Matrix Reloaded"	738576929	NA	1.5e+08	"R"	"Action"	"-2"	2003	"1"
"67"	"Up"	731542621	215238799	1.75e+08	"PG"	"Adventure"	"89"	2009	"0"
"68"	"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	720539572	439821630	1.8e+08	"PG"	"Adventure"	"140"	2005	"0"
"69"	"Gravity"	716392705	25094494	1.1e+08	"13"	"Thriller/Suspense"	"91"	2012	"0"
