"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests.found"	"parrots.lifetime"	"favorite.pirate"	"sword.type"	"sword.speed"
"1"	1	"male"	"yes"	23	"CCCC"	13	0	1	"Jack Sparrow"	"cutlass"	0.533211046327529
"2"	2	"female"	"yes"	22	"CCCC"	14	7	2	"Lewis Scot"	"cutlass"	0.867794495587602
"3"	3	"male"	"yes"	16	"CCCC"	12	2	1	"Jack Sparrow"	"cutlass"	0.777121353868216
"4"	4	"male"	"yes"	27	"CCCC"	11	1	3	"Jack Sparrow"	"cutlass"	2.85970256880936
"5"	5	"male"	"yes"	15	"CCCC"	8	1	1	"Blackbeard"	"scimitar"	5.77803380766368
"6"	6	"male"	"yes"	22	"CCCC"	5	4	0	"Hook"	"cutlass"	0.00795748055679724
"7"	7	"male"	"yes"	33	"CCCC"	5	26	2	"Edward Low"	"cutlass"	0.123665682622232
"8"	8	"female"	"yes"	30	"JSSFP"	12	19	4	"Edward Low"	"cutlass"	0.0143429505988024
"9"	9	"male"	"yes"	26	"CCCC"	11	2	7	"Lewis Scot"	"cutlass"	1.75670361113315
"10"	10	"male"	"yes"	31	"JSSFP"	9	5	3	"Jack Sparrow"	"cutlass"	0.63109597013966
"11"	11	"male"	"yes"	23	"CCCC"	12	7	3	"Hook"	"cutlass"	0.544024648235001
"12"	12	"male"	"yes"	27	"CCCC"	9	0	3	"Jack Sparrow"	"cutlass"	0.138280009268783
"13"	13	"male"	"no"	17	"CCCC"	8	8	0	"Jack Sparrow"	"scimitar"	0.0200805449545983
"14"	14	"male"	"yes"	21	"CCCC"	9	2	1	"Hook"	"cutlass"	1.09118466027418
"15"	15	"female"	"yes"	30	"CCCC"	9	25	8	"Anicetus"	"cutlass"	0.0844117789529264
"16"	16	"male"	"yes"	16	"CCCC"	14	8	1	"Jack Sparrow"	"cutlass"	0.683701257777222
"17"	17	"other"	"yes"	24	"CCCC"	2	5	0	"Hook"	"cutlass"	0.364532146195415
"18"	18	"male"	"yes"	18	"CCCC"	6	1	0	"Jack Sparrow"	"cutlass"	0.756955735242747
"19"	19	"female"	"yes"	39	"JSSFP"	8	1	1	"Jack Sparrow"	"cutlass"	1.3079795694588
"20"	20	"female"	"yes"	31	"JSSFP"	10	1	11	"Blackbeard"	"cutlass"	2.00484953477209
"21"	21	"male"	"yes"	25	"CCCC"	12	0	5	"Lewis Scot"	"cutlass"	1.65821678346528
"22"	22	"female"	"yes"	28	"CCCC"	10	13	5	"Jack Sparrow"	"cutlass"	3.45556127936827
"23"	23	"male"	"yes"	24	"CCCC"	9	2	1	"Jack Sparrow"	"scimitar"	7.28614693228104
"24"	24	"other"	"yes"	38	"JSSFP"	12	9	10	"Hook"	"cutlass"	1.04041945998894
"25"	25	"male"	"yes"	24	"CCCC"	7	14	2	"Jack Sparrow"	"cutlass"	0.040475927717563
"26"	26	"male"	"yes"	31	"JSSFP"	7	5	8	"Jack Sparrow"	"cutlass"	0.0231083641702672
"27"	27	"male"	"yes"	21	"CCCC"	11	13	2	"Jack Sparrow"	"cutlass"	4.5922487855126
"28"	28	"male"	"yes"	23	"CCCC"	11	11	0	"Jack Sparrow"	"cutlass"	0.897764144053433
"29"	29	"male"	"yes"	20	"CCCC"	8	9	0	"Jack Sparrow"	"cutlass"	0.993337861675412
"30"	30	"female"	"yes"	31	"JSSFP"	12	12	4	"Hook"	"cutlass"	0.47632720027753
"31"	31	"male"	"yes"	26	"CCCC"	8	8	0	"Jack Sparrow"	"cutlass"	0.533280976206817
"32"	32	"male"	"yes"	22	"CCCC"	7	6	0	"Jack Sparrow"	"cutlass"	0.435849821634412
"33"	33	"female"	"yes"	33	"JSSFP"	7	2	4	"Jack Sparrow"	"cutlass"	0.0992847379529849
"34"	34	"other"	"yes"	34	"JSSFP"	6	6	2	"Lewis Scot"	"cutlass"	1.31429061803171
"35"	35	"female"	"yes"	32	"JSSFP"	5	13	6	"Hook"	"cutlass"	0.247189614456147
"36"	36	"female"	"yes"	33	"JSSFP"	13	1	8	"Lewis Scot"	"cutlass"	0.113750685704872
"37"	37	"female"	"yes"	27	"CCCC"	16	2	6	"Edward Low"	"cutlass"	0.22640233655693
"38"	38	"female"	"yes"	32	"JSSFP"	12	12	9	"Blackbeard"	"scimitar"	3.63735756815827
"39"	39	"female"	"yes"	27	"CCCC"	12	11	0	"Blackbeard"	"cutlass"	0.397233616386075
"40"	40	"female"	"yes"	27	"CCCC"	4	1	2	"Anicetus"	"cutlass"	0.0181529810652137
"41"	41	"female"	"yes"	26	"CCCC"	6	10	2	"Edward Low"	"cutlass"	0.0348515354562551
"42"	42	"female"	"yes"	22	"CCCC"	8	5	1	"Edward Low"	"cutlass"	0.106661964029881
"43"	43	"female"	"yes"	37	"JSSFP"	11	7	0	"Edward Low"	"cutlass"	0.657363459441632
"44"	44	"female"	"yes"	28	"CCCC"	14	5	8	"Hook"	"scimitar"	5.72060589657581
"45"	45	"female"	"yes"	26	"CCCC"	8	7	5	"Edward Low"	"scimitar"	1.53176062507555
"46"	46	"male"	"yes"	33	"JSSFP"	12	7	1	"Jack Sparrow"	"cutlass"	0.0415999614051543
"47"	47	"female"	"yes"	36	"JSSFP"	12	5	12	"Blackbeard"	"cutlass"	1.10936761362815
"48"	48	"female"	"no"	25	"CCCC"	4	4	2	"Jack Sparrow"	"scimitar"	1.88524228753587
"49"	49	"female"	"yes"	31	"JSSFP"	14	22	2	"Blackbeard"	"cutlass"	0.465712788837783
"50"	50	"female"	"yes"	28	"CCCC"	12	7	1	"Blackbeard"	"cutlass"	3.18920137231677
"51"	51	"male"	"yes"	22	"CCCC"	9	1	3	"Hook"	"cutlass"	0.234080638037995
"52"	52	"female"	"yes"	36	"JSSFP"	11	19	0	"Blackbeard"	"cutlass"	0.000885623157955706
"53"	53	"female"	"yes"	36	"JSSFP"	9	2	7	"Edward Low"	"cutlass"	0.459783225061193
"54"	54	"male"	"yes"	21	"CCCC"	6	6	1	"Jack Sparrow"	"cutlass"	0.882950566806926
"55"	55	"male"	"yes"	22	"CCCC"	8	27	1	"Jack Sparrow"	"cutlass"	0.644400749595107
"56"	56	"female"	"yes"	29	"CCCC"	7	1	1	"Edward Low"	"cutlass"	0.546206325811077
"57"	57	"male"	"yes"	18	"CCCC"	11	6	0	"Jack Sparrow"	"cutlass"	0.123751622058812
"58"	58	"female"	"yes"	27	"CCCC"	10	10	1	"Jack Sparrow"	"cutlass"	0.0987982231211047
"59"	59	"male"	"yes"	26	"CCCC"	12	9	3	"Anicetus"	"cutlass"	1.88834748231551
"60"	60	"female"	"yes"	29	"CCCC"	4	2	2	"Lewis Scot"	"cutlass"	0.254329791350756
"61"	61	"male"	"yes"	33	"JSSFP"	8	3	0	"Jack Sparrow"	"cutlass"	0.761172014921782
"62"	62	"male"	"yes"	33	"JSSFP"	10	14	4	"Blackbeard"	"cutlass"	0.60233990437151
"63"	63	"female"	"yes"	22	"CCCC"	15	7	2	"Jack Sparrow"	"cutlass"	0.133704951149411
"64"	64	"female"	"yes"	30	"JSSFP"	18	5	5	"Anicetus"	"cutlass"	0.0230321436538361
"65"	65	"male"	"yes"	23	"CCCC"	5	1	0	"Jack Sparrow"	"sabre"	2.12237480096519
"66"	66	"female"	"yes"	28	"CCCC"	11	3	7	"Anicetus"	"sabre"	4.18481254936163
"67"	67	"male"	"yes"	26	"CCCC"	11	4	7	"Jack Sparrow"	"cutlass"	0.963419726080557
