"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests.found"	"parrots.lifetime"	"favorite.pirate"	"sword.type"	"sword.speed"
"1"	1	"male"	"yes"	26	"Jack Sparrow's School of Fashion and Piratry"	8	0	0	"Jack Sparrow"	"cutlass"	0.634960451835588
"2"	2	"male"	"yes"	27	"Captain Chunk's Canon Crew"	16	18	3	"Jack Sparrow"	"cutlass"	2.24805864433621
"3"	3	"male"	"yes"	22	"Captain Chunk's Canon Crew"	-10	2	4	"Jack Sparrow"	"cutlass"	1.40716310196678
"4"	4	"male"	"yes"	28	"Captain Chunk's Canon Crew"	11	28	1	"Anicetus"	"cutlass"	1.12261646972371
"5"	5	"male"	"yes"	23	"Captain Chunk's Canon Crew"	13	13	6	"Hook"	"cutlass"	0.594848988085806
"6"	6	"male"	"yes"	21	"Captain Chunk's Canon Crew"	11	1	1	"Jack Sparrow"	"cutlass"	0.522234338542268
"7"	7	"female"	"yes"	24	"Captain Chunk's Canon Crew"	7	1	8	"Anicetus"	"cutlass"	0.533370458885582
"8"	8	"male"	"yes"	17	"Captain Chunk's Canon Crew"	9	2	0	"Hook"	"cutlass"	1.08239390532823
"9"	9	"female"	"yes"	33	"Jack Sparrow's School of Fashion and Piratry"	7	9	6	"Jack Sparrow"	"cutlass"	0.206897230686786
"10"	10	"male"	"yes"	27	"Captain Chunk's Canon Crew"	9	3	1	"Jack Sparrow"	"cutlass"	0.958298390726112
"11"	11	"male"	"yes"	28	"Captain Chunk's Canon Crew"	9	8	1	"Jack Sparrow"	"cutlass"	0.456921685810022
"12"	12	"male"	"yes"	22	"Captain Chunk's Canon Crew"	11	0	3	"Jack Sparrow"	"cutlass"	0.127310401876457
"13"	13	"female"	"no"	33	"Jack Sparrow's School of Fashion and Piratry"	8	2	6	"Blackbeard"	"scimitar"	1.93416497663113
"14"	14	"female"	"yes"	32	"Jack Sparrow's School of Fashion and Piratry"	7	1	8	"Blackbeard"	"cutlass"	0.119602052145638
"15"	15	"male"	"yes"	36	"Jack Sparrow's School of Fashion and Piratry"	12	29	0	"Jack Sparrow"	"cutlass"	0.237532055471092
"16"	16	"male"	"yes"	30	"Captain Chunk's Canon Crew"	9	2	2	"Jack Sparrow"	"cutlass"	0.237985234998632
"17"	17	"male"	"yes"	26	"Captain Chunk's Canon Crew"	7	7	1	"Jack Sparrow"	"cutlass"	1.03790007443861
"18"	18	"male"	"yes"	29	"Captain Chunk's Canon Crew"	12	11	5	"Jack Sparrow"	"cutlass"	0.22451327173888
"19"	19	"other/NA"	"yes"	31	"Jack Sparrow's School of Fashion and Piratry"	9	14	3	"Blackbeard"	"cutlass"	0.650514687850893
"20"	20	"female"	"yes"	30	"Jack Sparrow's School of Fashion and Piratry"	12	9	1	"Jack Sparrow"	"cutlass"	0.669437310689247
"21"	21	"female"	"yes"	37	"Jack Sparrow's School of Fashion and Piratry"	8	6	6	"Jack Sparrow"	"cutlass"	0.387465922976844
