"year"	"economy"	"international.conflict"
"1"	1925	"good"	0
"2"	1926	"poor"	0
"3"	1927	"ok"	0
"4"	1928	"good"	0
"5"	1929	"good"	0
"6"	1930	"poor"	0
"7"	1931	"good"	0
"8"	1932	"good"	0
"9"	1933	"poor"	0
"10"	1934	"poor"	0
"11"	1935	"poor"	0
"12"	1936	"poor"	0
"13"	1937	"ok"	0
"14"	1938	"good"	0
"15"	1939	"ok"	0
"16"	1940	"poor"	0
"17"	1941	"ok"	0
"18"	1942	"ok"	0
"19"	1943	"ok"	0
"20"	1944	"good"	1
"21"	1945	"good"	0
"22"	1946	"good"	0
"23"	1947	"good"	0
"24"	1948	"poor"	0
"25"	1949	"good"	0
"26"	1950	"poor"	0
"27"	1951	"ok"	0
"28"	1952	"ok"	0
"29"	1953	"poor"	0
"30"	1954	"good"	0
"31"	1955	"poor"	1
"32"	1956	"ok"	0
"33"	1957	"good"	0
"34"	1958	"good"	1
"35"	1959	"good"	0
"36"	1960	"good"	0
"37"	1961	"poor"	0
"38"	1962	"good"	0
"39"	1963	"good"	0
"40"	1964	"poor"	0
"41"	1965	"good"	0
"42"	1966	"poor"	0
"43"	1967	"poor"	0
"44"	1968	"poor"	0
"45"	1969	"good"	0
"46"	1970	"good"	0
"47"	1971	"ok"	0
"48"	1972	"good"	0
"49"	1973	"poor"	0
"50"	1974	"ok"	0
"51"	1975	"good"	0
"52"	1976	"good"	0
"53"	1977	"good"	0
"54"	1978	"poor"	0
"55"	1979	"poor"	0
"56"	1980	"good"	0
"57"	1981	"ok"	0
"58"	1982	"poor"	0
"59"	1983	"good"	1
"60"	1984	"good"	0
"61"	1985	"good"	0
"62"	1986	"ok"	0
"63"	1987	"poor"	0
"64"	1988	"good"	0
"65"	1989	"good"	0
"66"	1990	"ok"	0
"67"	1991	"poor"	0
"68"	1992	"ok"	1
"69"	1993	"ok"	0
"70"	1994	"ok"	0
"71"	1995	"poor"	0
"72"	1996	"poor"	0
"73"	1997	"ok"	0
"74"	1998	"ok"	0
"75"	1999	"good"	0
"76"	2000	"good"	0
"77"	2001	"poor"	0
"78"	2002	"ok"	0
"79"	2003	"ok"	0
"80"	2004	"poor"	1
"81"	2005	"good"	0
"82"	2006	"good"	0
"83"	2007	"ok"	0
"84"	2008	"ok"	0
"85"	2009	"good"	0
"86"	2010	"ok"	0
"87"	2011	"poor"	0
"88"	2012	"poor"	0
"89"	2013	"good"	0
"90"	2014	"good"	0
"91"	2015	"poor"	0
"92"	2016	"poor"	0
